session_test_id,Rating,feedback,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
tts_experiment,voice_quality,,sentence51,fertility,59,242878,
tts_experiment,voice_quality,,sentence51,tacotron_2,60,242878,
tts_experiment,voice_quality,,sentence51,fertiliity_griffin,72,242878,
tts_experiment,voice_quality,,sentence51,reference,100,242878,
tts_experiment,voice_quality,,sentence51,deep_voice,83,242878,
tts_experiment,voice_quality,,sentence94,deep_voice,42,188870,
tts_experiment,voice_quality,,sentence94,reference,100,188870,
tts_experiment,voice_quality,,sentence94,tacotron_2,78,188870,
tts_experiment,voice_quality,,sentence94,fertility,91,188870,
tts_experiment,voice_quality,,sentence94,fertiliity_griffin,100,188870,
tts_experiment,voice_quality,,sentence69,fertility,100,109853,
tts_experiment,voice_quality,,sentence69,fertiliity_griffin,81,109853,
tts_experiment,voice_quality,,sentence69,deep_voice,63,109853,
tts_experiment,voice_quality,,sentence69,reference,100,109853,
tts_experiment,voice_quality,,sentence69,tacotron_2,35,109853,
tts_experiment,voice_quality,,sentence15,tacotron_2,100,57472,
tts_experiment,voice_quality,,sentence15,fertiliity_griffin,77,57472,
tts_experiment,voice_quality,,sentence15,deep_voice,68,57472,
tts_experiment,voice_quality,,sentence15,reference,100,57472,
tts_experiment,voice_quality,,sentence15,fertility,100,57472,
tts_experiment,voice_quality,,sentence2,reference,100,896840,
tts_experiment,voice_quality,,sentence2,fertility,41,896840,
tts_experiment,voice_quality,,sentence2,tacotron_2,57,896840,
tts_experiment,voice_quality,,sentence2,deep_voice,28,896840,
tts_experiment,voice_quality,,sentence2,fertiliity_griffin,45,896840,
tts_experiment,voice_quality,,sentence9,tacotron_2,63,27890,
tts_experiment,voice_quality,,sentence9,fertiliity_griffin,40,27890,
tts_experiment,voice_quality,,sentence9,fertility,49,27890,
tts_experiment,voice_quality,,sentence9,deep_voice,26,27890,
tts_experiment,voice_quality,,sentence9,reference,100,27890,
tts_experiment,voice_quality,,sentence0,reference,100,26914,
tts_experiment,voice_quality,,sentence0,deep_voice,44,26914,
tts_experiment,voice_quality,,sentence0,fertiliity_griffin,33,26914,
tts_experiment,voice_quality,,sentence0,fertility,73,26914,
tts_experiment,voice_quality,,sentence0,tacotron_2,42,26914,
tts_experiment,voice_quality,,sentence37,deep_voice,33,34955,
tts_experiment,voice_quality,,sentence37,fertility,82,34955,
tts_experiment,voice_quality,,sentence37,fertiliity_griffin,40,34955,
tts_experiment,voice_quality,,sentence37,tacotron_2,64,34955,
tts_experiment,voice_quality,,sentence37,reference,100,34955,
tts_experiment,voice_quality,,sentence89,fertiliity_griffin,34,24363,
tts_experiment,voice_quality,,sentence89,fertility,47,24363,
tts_experiment,voice_quality,,sentence89,reference,100,24363,
tts_experiment,voice_quality,,sentence89,deep_voice,55,24363,
tts_experiment,voice_quality,,sentence89,tacotron_2,56,24363,
tts_experiment,voice_quality,,sentence60,fertility,58,29411,
tts_experiment,voice_quality,,sentence60,fertiliity_griffin,40,29411,
tts_experiment,voice_quality,,sentence60,reference,100,29411,
tts_experiment,voice_quality,,sentence60,tacotron_2,65,29411,
tts_experiment,voice_quality,,sentence60,deep_voice,25,29411,
tts_experiment,both_equal,"Je to moc pekne :)",sentence5,tacotron_2,49,78339,
tts_experiment,both_equal,"Je to moc pekne :)",sentence5,fertiliity_griffin,64,78339,
tts_experiment,both_equal,"Je to moc pekne :)",sentence5,deep_voice,61,78339,
tts_experiment,both_equal,"Je to moc pekne :)",sentence5,reference,100,78339,
tts_experiment,both_equal,"Je to moc pekne :)",sentence5,fertility,76,78339,
tts_experiment,both_equal,"Je to moc pekne :)",sentence98,reference,100,122723,
tts_experiment,both_equal,"Je to moc pekne :)",sentence98,deep_voice,63,122723,
tts_experiment,both_equal,"Je to moc pekne :)",sentence98,tacotron_2,75,122723,
tts_experiment,both_equal,"Je to moc pekne :)",sentence98,fertiliity_griffin,54,122723,
tts_experiment,both_equal,"Je to moc pekne :)",sentence98,fertility,71,122723,
tts_experiment,both_equal,"Je to moc pekne :)",sentence30,fertiliity_griffin,61,53523,
tts_experiment,both_equal,"Je to moc pekne :)",sentence30,fertility,79,53523,
tts_experiment,both_equal,"Je to moc pekne :)",sentence30,tacotron_2,78,53523,
tts_experiment,both_equal,"Je to moc pekne :)",sentence30,deep_voice,54,53523,
tts_experiment,both_equal,"Je to moc pekne :)",sentence30,reference,100,53523,
tts_experiment,both_equal,"Je to moc pekne :)",sentence72,tacotron_2,66,65380,
